Kod,Nama,PPD
KEB5027,Sekolah Menengah Kebangsaan Sultan Badlishah,PPD KULIM/BANDAR BAHARU
KEB5028,Sekolah Menengah Kebangsaan St Patrick,PPD KULIM/BANDAR BAHARU
KEB5029,Sekolah Menengah Kebangsaan St. Anne'S Convent,PPD KULIM/BANDAR BAHARU
KEE0038,Sekolah Menengah Kebangsaan Kuala Ketil,PPD BALING
KEE0039,Sekolah Menengah Kebangsaan Kuala Pegang,PPD BALING
KEE1017,Sekolah Menengah Kebangsaan Sultan Ahmad Tajuddin,PPD KULIM/BANDAR BAHARU
KEE1018,Sekolah Menengah Kebangsaan Serdang,PPD KULIM/BANDAR BAHARU
KEE2100,Sekolah Menengah Kebangsaan Tunku Abdul Malik,PPD KOTA SETAR
KEE2101,Sekolah Menengah Kebangsaan Alor Janggus,PPD KOTA SETAR
KEE2102,Sekolah Menengah Kebangsaan Muadzam Shah,PPD KOTA SETAR
KEE2104,Sekolah Menengah Kebangsaan Tunku Abd. Aziz,PPD KOTA SETAR
KEE2107,Sekolah Menengah Kebangsaan Tun Sharifah Rodziah,PPD KOTA SETAR
KEE2108,Sekolah Menengah Kebangsaan Tengku Laksamana,PPD KOTA SETAR
KEE2160,Sekolah Menengah Kebangsaan Seri Gunong,PPD KOTA SETAR
KEE3052,Sekolah Menengah Kebangsaan Bedong,PPD YAN
KEE3053,Sekolah Menengah Kebangsaan Che Tom 'Srt',PPD KUALA MUDA
KEE3054,Sekolah Menengah Kebangsaan Gurun,PPD YAN
KEE3055,Sekolah Menengah Kebangsaan Merbok,PPD KUALA MUDA
KEE3056,Sekolah Menengah Kebangsaan Pekula Jaya,PPD KUALA MUDA
KEE3057,Sekolah Menengah Kebangsaan Tunku Sulong,PPD YAN
KEE3105,Sekolah Menengah Sains Sultan Mohamad Jiwa,PPD KUALA MUDA
KEE4037,Sekolah Menengah Kebangsaan Jitra,PPD KUBANG PASU
KEE4038,Sekolah Menengah Kebangsaan Seri Mahawangsa,PPD KUBANG PASU
KEE4039,Sekolah Menengah Kebangsaan Tunku Bendahara,PPD KUBANG PASU
KEE4040,Sekolah Menengah Kebangsaan Pulau Nyior,PPD KUBANG PASU
KEE4041,Sekolah Menengah Kebangsaan Ayer Hitam,PPD KUBANG PASU
KEE5030,Sekolah Menengah Kebangsaan Mahang,PPD KULIM/BANDAR BAHARU
KEE5031,Sekolah Menengah Kebangsaan Padang Serai,PPD KULIM/BANDAR BAHARU
KEE6016,Sekolah Menengah Kebangsaan Mahsuri,PPD LANGKAWI
KEE7017,Sekolah Menengah Kebangsaan Datuk Syed Ahmad,PPD PADANG TERAP
KEE8018,Sekolah Menengah Kebangsaan Sik,PPD SIK
KEE9023,Sekolah Menengah Kebangsaan Guar Chempedak,PPD YAN
KEE9024,Sekolah Menengah Kebangsaan Yan,PPD YAN
KEEA103,Sekolah Menengah Kebangsaan Pendang,PPD PENDANG
KEEA105,Sekolah Menengah Kebangsaan Sungai Tiang,PPD PENDANG
KEEB001,Sekolah Menengah Kebangsaan Pokok Sena,PPD KOTA SETAR
KFA8001,Maahad Dini Sultan Abdul Halim,PPD SIK
KFT0010,Sma Islahiah,PPD KULIM/BANDAR BAHARU
KFT0011,Maktab Mahmud Baling,PPD BALING
KFT0012,Sekolah Menengah Agama (Arab) Annajah,PPD BALING
KFT1001,Maktab Mahmud Bandar Baharu,PPD KULIM/BANDAR BAHARU
KFT2001,Sekolah Menengah Agama Darrusaadah,PPD KOTA SETAR
KFT2003,Sekolah Menengah Agama Ihya Ul-Ulum Ad-Diniah,PPD KOTA SETAR
KFT2004,Maktab Mahmud Pokok Sena,PPD KOTA SETAR
KFT3002,Sma Sungai Petani,PPD YAN
KFT3003,Sma Pekan Gurun,PPD YAN
KFT3004,Sekolah Menengah Akademi Islam Darul Aman,PPD KUALA MUDA
KFT3005,Maktab Mahmud Kuala Muda,PPD KUALA MUDA
KFT3006,Maktab Mahmud Merbok,PPD KUALA MUDA
KFT4001,Sekolah Menengah Agama Hidayah Islamiah,PPD KUBANG PASU
KFT4002,Sma Nurul Islam Ayer Hitam,PPD KUBANG PASU
KFT5001,Maktab Mahmud Kulim,PPD KULIM/BANDAR BAHARU
KFT6001,Maktab Mahmud Langkawi,PPD LANGKAWI
KFT7001,Sma Daril Iktisam,PPD PADANG TERAP
KFT7002,Sma Ma'Ahad Tahfiz Al-Abidin,PPD PENDANG
KFT7003,Sekolah Menengah Agama Al-Islahiah Al-Islamiah,PPD PADANG TERAP
KFT7004,Maktab Mahmud Padang Terap,PPD PADANG TERAP
KFT8002,Maktab Mahmud Sik,PPD SIK
KFT8003,Sekolah Menengah Agama Irsyadiah,PPD SIK
KFT9001,Sma Saadah Aldiniah Al Islamiah,PPD YAN
KFT9002,Sma Fauzi,PPD YAN
KFT9003,Sekolah Menengah Agama Nahdzah,PPD YAN
KFTA001,Ma'Ahad Al Imam Al Syafie,PPD PENDANG
KFTA002,Maktab Mahmud Pendang,PPD PENDANG
KHA2001,Kolej Vokasional Alor Setar,PPD KOTA SETAR
KHA3003,Kolej Vokasional Sungai Petani 1,PPD KUALA MUDA
KHA3004,Kolej Vokasional Sungai Petani 2,PPD KUALA MUDA
KHA5002,Kolej Vokasional Kulim,PPD KULIM/BANDAR BAHARU
KHA6002,Kolej Vokasional Pulau Langkawi,PPD LANGKAWI
KKE2156,Sekolah Menengah Teknik Alor Setar,PPD KOTA SETAR
KRA0001,Sekolah Menengah Kebangsaan Agama Baling,PPD BALING
KRA2001,Sekolah Menengah Kebangsaan Agama Kedah,PPD KOTA SETAR
KRA4001,Sekolah Berasrama Penuh Integrasi Kubang Pasu,PPD KUBANG PASU
KRA4002,Sekolah Menengah Kebangsaan Agama Jerlun,PPD KUBANG PASU
KRA8001,Sekolah Menengah Kebangsaan Agama Sik,PPD SIK
KRA9001,Sekolah Menengah Kebangsaan Agama Yan,PPD YAN
