Kod,Nama,PPD
KBA4034,Sekolah Kebangsaan Bandar Baru Darulaman,PPD KUBANG PASU
KBA4056,Sekolah Kebangsaan Pulau Chapa,PPD KUBANG PASU
KBA4057,Sekolah Kebangsaan (Felda) Bkt Tangga,PPD KUBANG PASU
KBA4058,Sekolah Kebangsaan Bukit Tinggi,PPD KUBANG PASU
KBA4059,Sekolah Kebangsaan Bandar Baru Sintok,PPD KUBANG PASU
KBA4060,Sekolah Kebangsaan Pulau Nyior,PPD KUBANG PASU
KBA4061,Sekolah Kebangsaan Jitra 3,PPD KUBANG PASU
KBA4062,Sekolah Kebangsaan Padang Pekan,PPD KUBANG PASU
KBA4063,Sekolah Kebangsaan Putat,PPD KUBANG PASU
KBA4064,Sekolah Kebangsaan Paya Kemunting,PPD KUBANG PASU
KBA4065,Sekolah Kebangsaan Darulaman Heights,PPD KUBANG PASU
KBA5001,Sekolah Kebangsaan Bukit Selarong,PPD KULIM/BANDAR BAHARU
KBA5002,Sekolah Kebangsaan Ldg Bukit Sidim,PPD KULIM/BANDAR BAHARU
KBA5003,Sekolah Kebangsaan Ladang Dublin,PPD KULIM/BANDAR BAHARU
KBA5004,Sekolah Kebangsaan Guar Lobak,PPD KULIM/BANDAR BAHARU
KBA5005,Sekolah Kebangsaan Junjong,PPD KULIM/BANDAR BAHARU
KBA5006,Sekolah Kebangsaan Keladi,PPD KULIM/BANDAR BAHARU
KBA5007,Sekolah Kebangsaan Kulim,PPD KULIM/BANDAR BAHARU
KBA5008,Sekolah Kebangsaan Sri Kulim,PPD KULIM/BANDAR BAHARU
KBA5009,Sekolah Kebangsaan Labu Besar,PPD KULIM/BANDAR BAHARU
KBA5010,Sekolah Kebangsaan Sri Limau,PPD KULIM/BANDAR BAHARU
KBA5011,Sekolah Kebangsaan Lunas Jaya,PPD KULIM/BANDAR BAHARU
KBA5012,Sekolah Kebangsaan Merbau Pulas,PPD KULIM/BANDAR BAHARU
KBA5013,Sekolah Kebangsaan Mahang,PPD KULIM/BANDAR BAHARU
KBA5014,Sekolah Kebangsaan Sungai Karangan,PPD KULIM/BANDAR BAHARU
KBA5015,Sekolah Kebangsaan Permatang Tok Dik,PPD KULIM/BANDAR BAHARU
KBA5016,Sekolah Kebangsaan Sungai Kob,PPD KULIM/BANDAR BAHARU
KBA5017,Sekolah Kebangsaan Sungai Seluang,PPD KULIM/BANDAR BAHARU
KBA5018,Sekolah Kebangsaan Sungai Ular,PPD KULIM/BANDAR BAHARU
KBA5019,Sekolah Kebangsaan Seri Lindungan Raja,PPD KULIM/BANDAR BAHARU
KBA5020,Sekolah Kebangsaan Terap,PPD KULIM/BANDAR BAHARU
KBA5021,Sekolah Kebangsaan Gunung Bongsu,PPD KULIM/BANDAR BAHARU
KBA5022,Sekolah Kebangsaan Pagar Musih,PPD KULIM/BANDAR BAHARU
KBA5023,Sekolah Kebangsaan Kulim Bandar,PPD KULIM/BANDAR BAHARU
KBA5024,Sekolah Kebangsaan Permatang Tiong,PPD KULIM/BANDAR BAHARU
KBA5025,Sekolah Kebangsaan Taman Selasih,PPD KULIM/BANDAR BAHARU
KBA5026,Sekolah Kebangsaan Taman Kenari,PPD KULIM/BANDAR BAHARU
KBA5027,Sekolah Kebangsaan Taman Ria,PPD KULIM/BANDAR BAHARU
KBA5028,Sekolah Kebangsaan Jalan Paya Besar,PPD KULIM/BANDAR BAHARU
KBA5029,Sekolah Kebangsaan Taman Hi-Tech,PPD KULIM/BANDAR BAHARU
KBA5030,Sekolah Kebangsaan Air Merah,PPD KULIM/BANDAR BAHARU
KBA5031,Sekolah Kebangsaan Taman Jelutong,PPD KULIM/BANDAR BAHARU
KBA5032,Sekolah Kebangsaan Taman Mutiara,PPD KULIM/BANDAR BAHARU
KBA5033,Sekolah Kebangsaan Taman Mahsuri,PPD KULIM/BANDAR BAHARU
KBA6001,Sekolah Kebangsaan Lubuk Chempedak,PPD LANGKAWI
KBA6002,Sekolah Kebangsaan Bayas,PPD LANGKAWI
KBA6003,Sekolah Kebangsaan Ewa,PPD LANGKAWI
KBA6004,Sekolah Kebangsaan Kedawang,PPD LANGKAWI
KBA6006,Sekolah Kebangsaan Seri Negeri,PPD LANGKAWI
